RegionName,City,State,Metro,CountyName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
10025,New York,NY,New York,New York,1,,,,,,,,,,,,,,5000,4795,4962.5,5195,5500,5450,5200,5337.5,5087.5,5000,5000,5000,4885,4850,5000,5200,5400,5487.5,5300,5650,5600,5175,5000,5175,5650,5700,5575,5425,5350,5000,5400,5000,5295,5397.5,5175,5500,5150,5075,5000,5000,5000,5041,5200,4947.5,4800,4800,4800,4897.5,4950,5150,5000,5000,5075,4947.5,4895,4800,4947.5,5000,4800,5000,5000,5000,5000,5000,5000,4950,5000,4895,4997.5,4950,4847.5,4995
60657,Chicago,IL,Chicago,Cook,2,,,,,,,,,,,,,,3300,3150,3062.5,3000,2950,3000,3125,3100,2995,2972.5,2995,3000,3000,2900,3200,3200,3200,3600,3600,3400,3400,3599.5,3400,3400,3400,3200,3200,3200,3445,3400,3200,3000,2900,2995,3000,3095,3195,3095,3500,3600,3600,3300,3200,3047.5,3095,3147.5,3195,3147.5,3195,3200,3450,3500,3600,3300,3225,3250,3395,3400,3400,3300,3225,3350,3597.5,3600,3800,3600,3400,3372.5,3190,3090,3147.5,3200
77494,Cinco Ranch,TX,Houston,Fort Bend,3,,,,,,,,,,,2100,2050,2000,2150,2300,2375,2250,2300,2497.5,2300,2225,2100,2200,2347.5,2300,2372.5,2350,2300,2200,2200,2200,2300,2300,2290,2250,2200,2250,2300,2300,2300,2397.5,2400,2300,2400,2397.5,2350,2300,2300,2350,2350,2375,2400,2400,2400,2400,2350,2300,2350,2275,2298,2200,2250,2295,2400,2300,2300,2200,2150,2300,2195,1999.5,2175,2095,2162.5,2100,2200,2200,2200,2200,2250,2300,2400,2400,2400,2300
75070,McKinney,TX,Dallas-Fort Worth,Collin,4,,,1597.5,1662.5,1650,1600,1650,1650,1750,1722.5,1650,1650,1650,1700,1650,1797.5,1700,1700,1750,1795,1700,1750,1750,1775,1850,1795,1750,1750,1797.5,1750,1795,1795,1795,1750,1750,1750,1725,1750,1750,1795,1825,1800,1800,1850,1800,1800,1800,1800,1825,1800,1850,1845,1895,1900,1895,1850,1895,1885,1875,1895,1850,1812.5,1850,1900,1995,1995,2000,1973,1997.5,1972.5,1950,1950,1900,1900,1995,1995,1995,1966,1900,1995,1990,1900,1900,1900,1900
60614,Chicago,IL,Chicago,Cook,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3750,3600,3800,4000,4150,3850,3700,3650,3625,3350,3300,3300
77084,Houston,TX,Houston,Harris,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,1700,1575,1500,1500,1500,1495,1500,1500,1675,1650,1625,1550,1600,1600,1675,1650,1650,1675,1651.5,1625,1600,1650,1750,1672.5,1600,1650,1630,1650,1600,1597.5,1625,1687.5,1595,1600,1625,1650,1612.5,1582.5,1570,1550,1599.5,1600,1550,1649.5,1650,1599,1650,1695,1662.5,1672.5,1600,1600,1600
77449,Houston,TX,Houston,Harris,7,,,,,,,1300,1300,1350,1350,1325,1312.5,1350,1350,1350,1337.5,1350,1300,1350,1350,1350,1395,1400,1397.5,1475,1450,1450,1495,1475,1485,1500,1512.5,1500,1500,1500,1495,1450,1450,1450,1472,1500,1500,1585,1550,1525,1525,1550,1525,1525,1525,1547.5,1550,1550,1532.5,1525,1550,1600,1595,1550,1517,1525,1525,1537.5,1550,1595,1595,1600,1550,1525,1500,1475,1450,1450,1460,1485,1500,1535,1545,1550,1507.5,1550,1560,1550,1550,1522.5
10016,New York,NY,New York,New York,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6066,6800,6200,6700,6800,6948,6850,6947.5,7000,6800,6600,6600
28269,Charlotte,NC,Charlotte,Mecklenburg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1575,1627,1649,1637,1595,1650,1649.5,1650,1650,1650,1625,1640
30349,Riverdale,GA,Atlanta,Clayton,10,,,,,,1200,1257.5,1250,1200,1187.5,1247.5,1200,1200,1200,1200,1200,1200,1175,1200,1200,1150,1100,1112.5,1125,1150,1197.5,1200,1200,1195,1200,1200,1200,1200,1200,1200,1200,1175,1190,1200,1200,1225,1200,1150,1152.5,1195,1185,1195,1247,1200,1200,1200,1225,1250,1250,1235,1250,1250,1250,1225,1222.5,1250,1250,1285,1297.5,1250,1300,1237.5,1297.5,1285,1295,1299.5,1325,1299,1400,1450,1425,1495,1497.5,1495,1375,1342,1352,1350,1395,1447.5
77429,Cypress,TX,Houston,Harris,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.5,1750,1797.5,1800,1810,1950,1995,1985,1899.5,1847.5,1822,1825,1799,1799,1899,1850,1897.5,1912,1987.5,1800,1925,1900,1895,1850,1800,1800,1800,1862.5,1950,1750,1900,1824.5,1857.5,1850,1797.5,1837.5,1850,1812.5,1800,1845,1830,1850,1800,1797.5,1800,1900,1925
60613,Chicago,IL,Chicago,Cook,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2995,3122.5,3200,3195,2995,2945,2845,2800,2800,2800,2800
11206,New York,NY,New York,Kings,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3929,3833,3750,3650,3750,3500,3599.5,3600,3595,3500,3399,3400,3450,3914.5,3800,3600,3950,4000,3800,3800,3800,3850,3799,3850,3800,3799,3895,3800,3800,3800,3800,3800,3909,3990,4100,4100,3800,4099.5,3600,3895,3999,4125,4100,3774.5,4200,4092.5,3947.5,3850,3800,3850,3850,3850,3795,3650,3649.5
30044,Lawrenceville,GA,Atlanta,Gwinnett,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.5,1545,1600,1577,1600,1600,1599,1520,1595,1660,1650,1572.5,1586
77479,Sugar Land,TX,Houston,Fort Bend,15,,,,,,,,,,,,,,,,,,,,,,2180,2275,2300,2175,2400,2300,2300,2450,2400,2425,2290,2425,2200,2425,2500,2500,2425,2400,2375,2490,2450,2300,2250,2197.5,2200,2075,2375,2400,2350,2400,2600,2500,2500,2450,2500,2500,2500,2500,2488,2400,2400,2488,2497.5,2500,2425,2350,2450,2500,2475,2300,2230,2200,2200,2272.5,2312.5,2325,2400,2350,2300,2300,2225,2325,2400,2399.5
30043,Lawrenceville,GA,Atlanta,Gwinnett,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.5,1569,1550,1559,1595,1620,1600,1602.5,1595,1595,1587.5,1600,1595,1595
77433,Cypress,TX,Houston,Harris,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1850,2000,1995,1875,1850,1875,1900,1900,1850,1900,1862.5,1900,1950,1950,2000,2000
77077,Houston,TX,Houston,Harris,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2395,2750,2600,2775,2500,2500,2500,2490,2395,2650,2600,2650
28277,Charlotte,NC,Charlotte,Mecklenburg,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,2125,2097.5,2112.5,2187,2195,2165,2125,2100,2075,2022.5,2100
75034,Frisco,TX,Dallas-Fort Worth,Collin,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2450,2425,2450,2587,2487,2495,2395,2650,2450,2590,2750,2950
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.5,1672.5,1650,1697.5,1725,1737.5,1850,1800,1762.5,1750,1750,1795,1700,1775
77379,Houston,TX,Houston,Harris,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1897.5,1850,1897.5,1810,1895,1750,1750,1787.5,1800,1787.5,1800,1770,1750,1750,1837.5,1895,1995,1879,1829.5,1859,1859,1895,1925,1925,1959,1954,1954.5,1950,1997,1862.5,1895,1775,1795,1950,1895,1895,1897.5,1800,1995,1727.5,1750,1690,1699,1800,1797.5,1795,1899.5,1875,1800,1850,1897.5,1890,1800,1850,1797.5,1812.5
60619,Chicago,IL,Chicago,Cook,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1400,1425,1350,1250,1250,1250,1250,1250,1275,1250,1250
78245,San Antonio,TX,San Antonio,Bexar,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,1495,1495,1495,1495,1525,1575,1575,1575,1550,1500,1495,1485
11221,New York,NY,New York,Kings,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3100,3195,3100,3100,3100,3150,3100,3149,3200,3185,3199.5,3100,3000,3116,3200,3200,3200,3200,3297,3350,3399,3400,3450,3349,3300,3265.5,3200,3292.5,3272.5,3400,3400,3400,3400,3400,3400,3492.5,3249.5,3325,3400,3200,3300,3400,3399,3399,3490,3395,3300,3392.5,3199.5,3345
30024,Suwanee,GA,Atlanta,Gwinnett,26,,,,,,,,,,,1600,1595,1600,1600,1500,1572.5,1600,1625,1650,1600,1600,1600,1600,1597.5,1550,1650,1600,1650,1650,1650,1650,1600,1625,1650,1697.5,1750,1747.5,1700,1725,1700,1695,1700,1687.5,1799,1800,1799.5,1762.5,1700,1700,1774.5,1800,1795,1795,1800,1800,1735.5,1700,1799.5,1797,1882.5,1850,1799,1760,1800,1800,1799.5,1787,1800,1799,1750,1900,1800,1800,1850,1825,1884,1900,1900,1925,1900,1900,1850,1950,1982.5,1899
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2299,2300,2412.5,2350,2300,2300,2250,2258,2352.5,2412.5,2500
60617,Chicago,IL,Chicago,Cook,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,1200,1200,1250,1250,1237.5,1287.5,1300,1300,1300,1300
28027,Concord,NC,Charlotte,Cabarrus,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1500,1500,1530,1549.5,1625,1650,1585,1595,1550,1595,1670
11385,New York,NY,New York,Queens,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3400,3500,3500,3500,3585,3495,3400,3400,3500,3599.5,3450,3499,3100,3350,3300,3299,3400,3400,3400,3500,3500,3399,3374.5,3500,3483
91709,Chino Hills,CA,Riverside,San Bernardino,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2700,2600,2695,2700,2650,2600,2795,2800,2800,2800,2825,2795,2750,2700,2695
77459,Missouri City,TX,Houston,Fort Bend,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,2200,2047.5,2000,2050,1997.5,2050,1995,1995,1975,1962.5,1950,1950
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4150,4150,4300,4300,4400,4300,4400,4200,3974.5,3950,4000,4345
98012,Bothell,WA,Seattle,Snohomish,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2550,2600,2650,2650,2600,2550,2500,2499,2500,2495,2500
97229,Cedar Mill,OR,Portland,Washington,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2400,2350,2495,2600,2695,2595,2495,2350,2350,2397.5,2397.5,2372.5
33647,Tampa,FL,Tampa,Hillsborough,36,,1850,1750,1885,2000,1975,1875,1800,1800,1795,1700,1750,1750,1850,1895,1897.5,1872.5,1900,1897.5,1895,1900,1800,1800,1800,1775,1800,1850,1900,1950,2000,2100,2000,1995,1992.5,2000,2000,1895,1850,1850,1850,1900,1905,1900,1895,1895,1850,1850,1905,1897.5,1895,1900,1925,1950,2000,1985,1950,1950,1925,1900,1850,1905,1910,1910,1950,1995,1997.5,1995,1975,2015,1910,1950,1975,1995,2000,1859,2000,2057.5,2095,2007.5,2000,2000,1997,1995,2000,2000
76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,37,,,,,,,1495,1650,1662.5,1595,1694.5,1600,1600,1650,1650,1650,1600,1500,1600,1612.5,1595,1650,1600,1562.5,1550,1650,1612.5,1625,1637.5,1650,1628,1620,1650,1710,1695,1695,1695,1695,1675,1675,1700,1750,1700,1695,1675,1675,1725,1695,1600,1650,1725,1700,1785,1742.5,1712.5,1742.5,1795,1745,1795,1859,1795,1750,1750,1795,1745,1795,1800,1750,1725,1800,1750,2045,1850,1850,1850,1850,1892.5,1885,1895,1897.5,1850,1800,1800,1795,1795
92336,Fontana,CA,Riverside,San Bernardino,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2275,2295,2400,2400,2375,2450,2450,2497.5,2395,2350,2400,2400
77095,Houston,TX,Houston,Harris,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.5,1729,1700,1700,1700,1749.5,1750,1750,1825,1809,1799.5,1800,1800,1800,1800,1750,1800,1787.5,1795,1795,1799.5,1837.5,1800,1795,1797,1800,1800,1825,1825,1775,1785,1795,1750,1837,1790,1775,1625,1700,1737.5,1771.5,1775,1837.5,1800,1785,1760,1770,1800,1800,1795,1750
77450,Cinco Ranch,TX,Houston,Fort Bend,40,,,,,,,,,,,,,,,,2325,2350,2300,2400,2050,2100,1850,1885,2050,2300,2100,1947.5,2200,2200,2200,2300,2275,2300,2200,2400,2350,2025,2099.5,2000,2000,2200,2300,2250,2272.5,2200,2100,2100,1950,1995,1995,2100,2225,2250,2300,2300,2200,2200,2150,2187.5,2100,2095,2050,2200,2200,2425,2300,2100,1972.5,1995,1897.5,1900,1900,1900,1925,1950,1950,2000,2000,2074.5,2099.5,2100,2150,2125,2060,1990
77845,College Station,TX,College Station,Brazos,41,,,,,,,,,,,,,,1545,1600,1600,1600,1595,1550,1495,1400,1400,1495,1497.5,1495,1650,1600,1600,1600,1595,1597.5,1500,1500,1525,1600,1592.5,1590,1600,1650,1625,1600,1625,1600,1650,1600,1795,1650,1672.5,1697.5,1700,1695,1700,1750,1800,1850,1800,1685,1650,1740,1900,2000,1900,1885,1747.5,1800,2000,1800,1600,1695,1835,1975,1800,1800,1900,1800,1800,1750,1700,1700,1600,1695,1800,1800,1800,1850
79938,El Paso,TX,El Paso,El Paso,42,,,,,,,,,,,,,,,,1370,1390,1350,1350,1295,1295,1350,1332.5,1300,1290,1230,1275,1275,1250,1250,1250,1250,1250,1250,1295,1295,1250,1200,1200,1200,1250,1250,1295,1250,1245,1250,1247.5,1250,1225,1200,1250,1250,1250,1250,1250,1250,1250,1250,1200,1200,1200,1250,1250,1250,1225,1200,1250,1175,1200,1275,1250,1295,1200,1250,1250,1250,1250,1250,1295,1250,1250,1200,1200,1200,1200
89117,Las Vegas,NV,Las Vegas,Clark,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1700,1725,1650,1500,1500,1600,1600,1600,1612.5,1665,1699,1662.5,1599.5,1825,1597.5,1650,1600,1650,1650,1700,1700,1700,1795,1845,1900,1950,1775,1895,1900,1800,1895
92592,Temecula,CA,Riverside,Riverside,44,,,2100,2100,2099.5,2000,1997.5,1975,1950,2072.5,1899.5,1972.5,2100,1950,1967.5,1925,1995,1995,1995,2025,1995,2100,2050,2050,1999.5,1950,1950,1999.5,2050,2050,2000,2100,2000,2000,2000,2095,2095,2095,2000,2025,2099.5,2095,2100,2100,2097,2099.5,1995,2095,2095,2050,2050,2100,2100,2095,2050,2100,2150,2100,2097.5,2150,2154.5,2196,2195,2150,2200,2199,2195,2100,2195,2197,2125,2150,2300,2325,2400,2300,2375,2395,2350,2350,2400,2422.5,2400,2412.5,2485
32244,Jacksonville,FL,Jacksonville,Duval,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1295,1299.5,1350,1312.5,1362.5,1395,1375,1295,1344,1306.5,1350,1412
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,46,,2072.5,2095,2100,2200,2200,2200,2150,2150,2150,2125,2200,2197.5,2050,2095,2047.5,2100,2100,2100,2100,2250,2200,2200,2300,2300,2200,2250,2100,2200,2350,2400,2300,2300,2300,2300,2200,2270,2250,2300,2300,2300,2300,2300,2250,2300,2350,2325,2300,2300,2300,2300,2300,2250,2250,2397.5,2225,2350,2372.5,2332.5,2400,2400,2400,2400,2400,2450,2550,2400,2425,2425,2500,2500,2500,2400,2450,2350,2400,2400,2500,2500,2500,2497.5,2450,2450,2500,2500
30331,Atlanta,GA,Atlanta,Fulton,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1475,1457.5,1460,1486,1550,1550,1600,1518,1590,1595,1645,1645
30052,Loganville,GA,Atlanta,Gwinnett,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1479,1495,1519,1528,1599.5,1500,1507.5,1495,1495,1495,1490
34787,Winter Garden,FL,Orlando,Orange,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2125,2125,2175,2200,2000,1995,1995,2075,2100,2195,2200,2200
32218,Jacksonville,FL,Jacksonville,Duval,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1395,1447.5,1497.5,1495,1497.5,1450,1499,1500,1550,1495,1495,1495
28078,Huntersville,NC,Charlotte,Mecklenburg,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.5,1850,1825,1899,1875,1895,1855,1875,1895,1850,1797.5,1795,1795
30022,Johns Creek,GA,Atlanta,Fulton,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2325,2350,2300,2200,2225,2200,2200,2200,2200,2200,2100,2175,2200,2200,2200
33027,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,2644,2650,2660,2699.5,2629,2599.5,2625,2695,2695,2620,2620,2600
2155,Medford,MA,Boston,Middlesex,54,,,,,,,,,,,,,,,,,,,,,,,,2750,2700,2800,2800,2800,2800,2600,2600,2600,2500,2500,2500,2400,2500,2300,2600,2700,2800,2800,2800,2700,2700,2700,2650,2500,2600,2750,2750,2800,2900,3000,2875,2800,2800,2800,2800,2700,3000,3000,2925,3000,3100,3200,3000,2800,2600,2800,2500,2700,2800,2800,2950,3000,3090,3200,3200,3000,3000,3200,3300,3200,3300
89052,Henderson,NV,Las Vegas,Clark,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1900,1900,1995,1995,2150,2100,1995,1975,2050,2125,2075,2000
34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1674.5,1700,1700,1675,1650,1675,1695,1650,1687.5,1650,1650,1675
91710,Chino,CA,Riverside,San Bernardino,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499,2500,2550,2525,2587.5,2500,2522,2550,2625,2500,2550,2525,2500
89123,Las Vegas,NV,Las Vegas,Clark,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1600,1635,1635,1650,1650,1675,1625,1768,1695,1700,1700,1700
32225,Jacksonville,FL,Jacksonville,Duval,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,1774.5,1650,1700,1750,1750,1990,1950,1850,1795,1795,1750,1750
75035,Frisco,TX,Dallas-Fort Worth,Collin,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1895,1990,1950,1995,1900,1900,1897.5,1875,1872.5,1900,1937.5,1850,1850,1850,1850,1875,1895,1850,1895,1972.5,1997.5,1997.5,1950,1990,1950,1995,2000,1975,2000,2050,2095,2000,2097.5,2100,2025,2000,2025,2000,2000,1997.5,2097.5,2047.5,2000,1997.5,2095,2100,2022.5,2100,2195,2125,2195,2125,2100,2095,2100
